INSTANCE,VCPU,RAM,HOURLY ON DEMAND
Gs4-8,16,224.0,4.88
M16-4ms,16,437.5,3.995
M16-8ms,16,437.5,3.995
E32-16ads v5,32,256.0,2.368
E32-16as v4,32,256.0,2.24
E32-16as v5,32,256.0,2.016
E32-16ds v4,32,256.0,2.592
E32-16ds v5,32,256.0,2.592
E32-16s v3,32,256.0,2.24
E32-16s v4,32,256.0,2.24
E32-16s v5,32,256.0,2.24
E32-8ads v5,32,256.0,2.368
E32-8as v4,32,256.0,2.24
E32-8as v5,32,256.0,2.016
E32-8ds v4,32,256.0,2.592
E32-8ds v5,32,256.0,2.592
E32-8s v3,32,256.0,2.24
E32-8s v4,32,256.0,2.24
E32s v5,32,256.0,2.24
Gs5-16,32,448.0,8.69
Gs5-8,32,448.0,8.69
M32-16ms,32,875.0,7.99
M32-8ms,32,875.0,7.99
E64-16s v3,64,432.0,4.032
E64-32s v3,64,432.0,4.032
E64-16ds v4,64,504.0,5.184
E64-16s v4,64,504.0,4.48
E64-32ds v4,64,504.0,5.184
E64-32s v4,64,504.0,4.48
E64-16ads v5,64,512.0,4.736
E64-16as v4,64,512.0,4.48
E64-16as v5,64,512.0,4.032
E64-16ds v5,64,512.0,5.184
E64-16s v5,64,512.0,4.48
E64-32ads v5,64,512.0,4.736
E64-32as v4,64,512.0,4.48
E64-32as v5,64,512.0,4.032
E64-32ds v5,64,512.0,5.184
E64-32s v5,64,512.0,4.48
M64-16ms,64,1.0,17.347
M64-32ms,64,1.0,17.347
E96-24ads v5,96,672.0,7.104
E96-24as v4,96,672.0,6.72
E96-24as v5,96,672.0,6.048
E96-24ds v5,96,672.0,7.776
E96-24s v5,96,672.0,6.72
E96-48ads v5,96,672.0,7.104
E96-48as v4,96,672.0,6.72
E96-48as v5,96,672.0,6.048
E96-48ds v5,96,672.0,7.776
E96-48s v5,96,672.0,6.72
M128-32ms,128,3.0,34.694
M128-64ms,128,3.0,34.694
L8as v3,8,64.0,0.688
L16as v3,16,128.0,1.376
L32as v3,32,256.0,2.752
L48as v3,48,384.0,4.128
L64as v3,64,512.0,5.504
L80as v3,80,640.0,6.88
L8s v2,8,64.0,0.688
L16s v2,16,128.0,1.376
L32s v2,32,256.0,2.752
L48s v2,48,384.0,4.128
L64s v2,64,512.0,5.504
L80s v2,80,640.0,6.88
L8s v3,8,64.0,0.768
L16s v3,16,128.0,1.536
L32s v3,32,256.0,3.072
L48s v3,48,384.0,4.608
L64s v3,64,512.0,6.144
L80s v3,80,640.0,7.68
L4s,4,32.0,0.344
L8s,8,64.0,0.688
L16s,16,128.0,1.376
L32s,32,256.0,2.752
NC6s v3,6,112.0,3.978
NC12s v3,12,224.0,7.956
NC24rs v3,24,448.0,17.503
NC24s v3,24,448.0,15.912
NC4as T4 v3,4,28.0,0.631
NC8as T4 v3,8,56.0,0.902
NC16as T4 v3,16,110.0,1.445
NC64as T4 v3,64,440.0,5.222
NC24ads A100 v4,24,220.0,4.775
NC48ads A100 v4,48,440.0,9.55
NC96ads A100 v4,96,880.0,19.1
NV12s v3,12,112.0,1.14
NV24s v3,24,224.0,2.28
NV48s v3,48,448.0,4.56
NV6adsv5,6,55.0,0.59
NV12ads A10 v5,12,110.0,1.18
NV18ads A10 v5,18,220.0,2.08
NV36ads A10 v5,36,440.0,4.16
NV36adms A10 v5,36,880.0,5.876
NV72ads A10 v5,72,880.0,8.476
ND96isr H100 v5,96,1.0,127.816
ND96amsr A100 v4,96,1.0,42.601
H8,8,56.0,0.971
H8m,8,112.0,1.301
H16r,16,112.0,2.136
H16,16,112.0,1.941
H16mr,16,224.0,2.861
H16m,16,224.0,2.601
