INSTANCE,VCPU,RAM,HOURLY ON DEMAND
r4.4xlarge,16,122.0,1.0640 
m5dn.4xlarge,16,64.0,1.0880 
c6g.8xlarge,32,64.0,1.0880 
r7gd.4xlarge,16,128.0,1.0886 
m6in.4xlarge,16,64.0,1.1138 
z1d.3xlarge,12,96.0,1.1160 
g3.4xlarge,16,122.0,1.1400 
r5d.4xlarge,16,128.0,1.1520 
is4gen.2xlarge,8,48.0,1.1526 
c7g.8xlarge,32,64.0,1.1600 
inf1.6xlarge,24,48.0,1.1800 
r5n.4xlarge,16,128.0,1.1920 
r5b.4xlarge,16,128.0,1.1920 
g4dn.4xlarge,16,64.0,1.2040 
r6id.4xlarge,16,128.0,1.2096 
g5.2xlarge,8,32.0,1.2120 
r7a.4xlarge,16,128.0,1.2172 
c6a.8xlarge,32,64.0,1.2240 
c6gd.8xlarge,32,64.0,1.2288 
m6g.8xlarge,32,128.0,1.2320 
c5a.8xlarge,32,64.0,1.2320 
i4g.4xlarge,16,128.0,1.2355 
i3.4xlarge,16,122.0,1.2480 
m6idn.4xlarge,16,64.0,1.2730 
vt1.6xlarge,24,48.0,1.3000 
m7g.8xlarge,32,128.0,1.3056 
r3.4xlarge,16,122.0,1.3300 
r5dn.4xlarge,16,128.0,1.3360 
x2gd.4xlarge,16,256.0,1.3360 
trn1.2xlarge,8,32.0,1.3438 
i3en.3xlarge,12,96.0,1.3560 
c6i.8xlarge,32,64.0,1.3600 
g5g.8xlarge,32,64.0,1.3720 
i4i.4xlarge,16,128.0,1.3730 
m5a.8xlarge,32,128.0,1.3760 
c5ad.8xlarge,32,64.0,1.3760 
d2.2xlarge,8,61.0,1.3800 
c6gn.8xlarge,32,64.0,1.3824 
m6a.8xlarge,32,128.0,1.3824 
r6in.4xlarge,16,128.0,1.3946 
c7i.8xlarge,32,64.0,1.4280 
m6gd.8xlarge,32,128.0,1.4464 
c7gd.8xlarge,32,64.0,1.4515 
im4gn.4xlarge,16,64.0,1.4552 
r7iz.4xlarge,16,128.0,1.4880 
c5.9xlarge,36,72.0,1.5300 
m7i-flex.8xlarge,32,128.0,1.5322 
m6i.8xlarge,32,128.0,1.5360 
m5.8xlarge,32,128.0,1.5360 
r6idn.4xlarge,16,128.0,1.5631 
c4.8xlarge,36,60.0,1.5910 
c6id.8xlarge,32,64.0,1.6128 
m7i.8xlarge,32,128.0,1.6128 
r6g.8xlarge,32,256.0,1.6128 
g5.4xlarge,16,64.0,1.6240 
c6g.12xlarge,48,96.0,1.6320 
c7a.8xlarge,32,64.0,1.6422 
m5ad.8xlarge,32,128.0,1.6480 
f1.2xlarge,8,122.0,1.6500 
x2iedn.2xlarge,8,256.0,1.6672 
x2iezn.2xlarge,8,256.0,1.6680 
x1e.2xlarge,8,244.0,1.6680 
c3.8xlarge,32,60.0,1.6800 
hpc7g.8xlarge,32,128.0,1.6832 
hpc7g.16xlarge,64,128.0,1.6832 
hpc7g.4xlarge,16,128.0,1.6832 
i2.2xlarge,8,61.0,1.7050 
m7gd.8xlarge,32,128.0,1.7086 
r7g.8xlarge,32,256.0,1.7136 
c5d.9xlarge,36,72.0,1.7280 
g4ad.8xlarge,32,128.0,1.7340 
c7g.12xlarge,48,96.0,1.7400 
r5a.8xlarge,32,256.0,1.8080 
m5d.8xlarge,32,128.0,1.8080 
r6a.8xlarge,32,256.0,1.8144 
